file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,157,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,16
style.css,158,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,159,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,160,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,16
style.css,161,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,162,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,163,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,22
style.css,164,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,165,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,0
style.css,166,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,0
style.css,167,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,14
style.css,168,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,18
style.css,169,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,9
style.css,170,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,11
style.css,171,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,14
style.css,172,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,20
style.css,173,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,0
style.css,174,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,0
style.css,175,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,21
style.css,176,css,8b22b6dd,Aditya Surapaneni,2025-01-22,19:22:03,-08:00,2025-01-22T19:22:03-08:00,0,20
style.css,177,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,0
style.css,178,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,0
style.css,179,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,4
style.css,180,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,14
style.css,181,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,14
style.css,182,css,010e7c1e,Aditya Surapaneni,2025-01-29,10:28:47,-08:00,2025-01-29T10:28:47-08:00,0,19
style.css,183,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,0
style.css,184,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,0
style.css,185,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,15
style.css,186,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,13
style.css,187,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,38
style.css,188,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,9
style.css,189,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,19
style.css,190,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,13
style.css,191,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,37
style.css,192,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,18
style.css,193,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,0
style.css,194,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,0
style.css,195,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,18
style.css,196,css,2f46b96c,Aditya Surapaneni,2025-01-29,17:42:53,-08:00,2025-01-29T17:42:53-08:00,0,17
